198,pCO2D: Frequency of standardization,,26.17.2
199,pCO2D: Temperature of standardization,,26.17.3
200,pCO2D: Manufacturer of standard gas,,26.17.4.1
201,pCO2D: Concentrations of standard gas,,26.17.4.2
202,pCO2D: Uncertainties of standard gas,,26.17.4.3
203,pCO2D: Water vapor correction method,,26.18
204,pCO2D: Temperature correction method,,26.19
205,pCO2D: at what temperature was pCO2 reported,,26.20
206,pCO2D: Uncertainty,,26.21
207,pCO2D: Data quality flag description,,26.22
208,pCO2D: Method reference (citation),,26.23
209,pCO2D: Researcher Name,,26.24.1
210,pCO2D: Researcher Institution,,26.24.2
211,Var1: Variable abbreviation in data files,,27.1
212,Var1: Full variable name,,27.2
213,Var1: Observation type,,27.4
214,Var1: In-situ observation / manipulation condition / response variable,,27.5
215,Var1: Variable unit,,27.7
216,Var1: Measured or calculated,,27.8
217,Var1: Calculation method and parameters,,27.9
218,Var1: Sampling instrument,,27.10
219,Var1: Analyzing instrument,,27.11
220,Var1: Duration (for settlement/colonization methods),,27.12
221,Var1: Detailed sampling and analyzing information,,27.13
222,Var1: Field replicate information,,27.14
223,Var1: Uncertainty,,27.15
224,Var1: Data quality flag description,,27.16
225,Var1: Method reference (citation),,27.17
226,Var1: Biological subject,,27.18
227,Var1: Species Identification code,,27.19
228,Var1: Life stage of the biological subject,,27.20
229,Var1: Researcher Name,,27.21.1
